"Year,RPM_DOMESTIC,RPM_INTERNATIONAL,RPM_TOTAL,ASM_Month,ASM_DOMESTIC,ASM_INTERNATIONAL,ASM_TOTAL,LF_DOMESTIC,LF_INTERNATIONAL,LF_TOTAL,",
"Dec-13,""49,255,842"",""48,493,414"",""97,749,256"",12,""57,900,194"",""58,833,971"",""116,734,165"",85.07,82.42,83.74,",
"Jan-14,""43,684,303"",""47,473,777"",""91,158,080"",1,""54,171,425"",""58,922,915"",""113,094,340"",80.64,80.57,80.6,",
"Feb-14,""40,605,269"",""39,209,361"",""79,814,630"",2,""49,463,488"",""52,008,758"",""101,472,246"",82.09,75.39,78.66,",
"Mar-14,""51,918,890"",""48,464,543"",""100,383,433"",3,""60,768,281"",""61,440,031"",""122,208,312"",85.44,78.88,82.14,",
"Apr-14,""49,293,680"",""49,844,561"",""99,138,241"",4,""58,071,049"",""62,232,267"",""120,303,316"",84.89,80.09,82.41,",
"May-14,""51,560,075"",""55,012,980"",""106,573,055"",5,""59,765,328"",""66,285,101"",""126,050,429"",86.27,82.99,84.55,",
"Jun-14,""54,022,306"",""58,385,754"",""112,408,060"",6,""61,820,871"",""68,776,135"",""130,597,006"",87.39,84.89,86.07,",
"Jul-14,""56,914,562"",""61,509,100"",""118,423,662"",7,""64,831,763"",""73,068,871"",""137,900,635"",87.79,84.18,85.88,",
"Aug-14,""54,679,741"",""62,848,057"",""117,527,798"",8,""62,925,703"",""72,899,575"",""135,825,279"",86.9,86.21,86.53,",
"Sep-14,""46,375,580"",""52,747,215"",""99,122,795"",9,""56,514,131"",""65,125,611"",""121,639,742"",82.06,80.99,81.49,",
"Oct-14,""50,158,363"",""51,571,929"",""101,730,292"",10,""59,658,398"",""65,295,791"",""124,954,189"",84.08,78.98,81.41,",
"Nov-14,""46,389,945"",""45,044,040"",""91,433,985"",11,""57,022,999"",""59,246,357"",""116,269,356"",81.35,76.03,78.64,",
"Dec-14,""50,367,542"",""50,884,870"",""101,252,413"",12,""60,359,656"",""63,480,008"",""123,839,664"",83.45,80.16,81.76,",
"Jan-15,""45,180,258"",""50,208,955"",""95,389,213"",1,""57,057,745"",""63,468,652"",""120,526,397"",79.18,79.11,79.14,",
"Feb-15,""42,271,512"",""41,969,232"",""84,240,744"",2,""51,303,385"",""55,930,732"",""107,234,117"",82.4,75.04,78.56,",
"Mar-15,""53,958,373"",""51,603,788"",""105,562,162"",3,""62,923,590"",""65,116,458"",""128,040,048"",85.75,79.25,82.44,",
"Apr-15,""51,913,047"",""51,769,390"",""103,682,437"",4,""61,171,693"",""67,005,224"",""128,176,918"",84.86,77.26,80.89,",
"May-15,""54,289,541"",""58,064,578"",""112,354,119"",5,""63,451,410"",""71,498,491"",""134,949,901"",85.56,81.21,83.26,",
"Jun-15,""57,031,104"",""61,398,465"",""118,429,570"",6,""65,287,846"",""73,147,094"",""138,434,941"",87.35,83.94,85.55,",
"Jul-15,""60,474,844"",""66,959,985"",""127,434,829"",7,""68,617,442"",""78,890,425"",""147,507,867"",88.13,84.88,86.39,",
"Aug-15,""57,860,043"",""67,260,598"",""125,120,641"",8,""66,788,427"",""78,308,185"",""145,096,612"",86.63,85.89,86.23,",
"Sep-15,""49,895,839"",""57,005,668"",""106,901,507"",9,""59,567,005"",""70,736,925"",""130,303,931"",83.76,80.59,82.04,",
"Oct-15,""54,113,570"",""56,152,692"",""110,266,262"",10,""62,610,143"",""70,309,882"",""132,920,025"",86.43,79.86,82.96,",
"Nov-15,""50,948,208"",""49,024,483"",""99,972,691"",11,""60,521,417"",""63,276,740"",""123,798,157"",84.18,77.48,80.75,",
"Dec-15,""53,164,106"",""54,796,532"",""107,960,638"",12,""63,305,861"",""68,850,379"",""132,156,240"",83.98,79.59,81.69,",
